,Assay,Fraction,lower,upper
0,ELISPOT,0.1793695973012861,0.004545369227653057,0.004617596573780192
1,multimer,0.8142541784925891,0.011569348968178406,0.01114595519054462
2,ICS,0.7041540020263425,0.01394013659585469,0.013645576462113063
3,51 Cr,0.7991150442477876,0.014141596730398942,0.013576244998299236
4,ELISA,0.7036346691519105,0.02331809079317204,0.02250791469882507
5,Other,0.8857243319268636,0.010101854181423398,0.009522462897510242
