,source,value
398,background,1.12
399,background,1.75
400,background,71.4
401,background,1.52
402,background,157.0
403,background,3.39
404,background,94.0
405,background,78.0
406,background,0.483
407,background,1.42
408,background,20.8
409,background,189.0
410,background,32.2
411,background,0.043
412,background,1.35
413,background,5.35
414,background,1.1
415,background,3.74
416,background,16.0
417,background,4.14
418,background,1.06
419,background,1.56
420,background,0.495
421,background,0.582
422,background,1.41
423,background,3.18
424,background,2.05
425,background,7.34
426,background,0.66
427,background,6.95
428,background,0.663
429,background,0.477
430,background,1.79
431,background,65.6
432,background,197.0
433,background,1.9
434,background,0.99
435,background,1.42
436,background,447.0
437,background,1.39
438,background,13.1
439,background,240.0
440,background,0.368
441,background,0.59
442,background,0.54
443,background,0.348
444,background,1.84
445,background,0.75
446,background,328.0
447,background,4.53
448,background,412.0
449,background,0.472
450,background,0.586
451,background,1.26
452,background,1.68
453,background,5.43
454,background,358.0
455,background,0.43
456,background,0.611
457,background,1.98
458,background,484.0
459,background,2.79
460,background,0.944
461,background,0.432
462,background,5.16
463,background,0.694
464,background,60.9
465,background,1.12
466,background,40.1
467,background,0.597
468,background,875.0
469,background,1.03
470,background,0.272
471,background,1.72
472,background,12.8
473,background,1.23
474,background,19.0
475,background,0.823
476,background,0.632
477,background,3.16
478,background,263.0
479,background,1.47
480,background,20.8
481,background,2.8
482,background,1.52
483,background,0.721
484,background,0.471
485,background,50.5
486,background,25.1
487,background,233.0
488,background,37.7
489,background,58.0
490,background,71.8
491,background,52.6
492,background,1.92
493,background,2.76
494,background,0.497
495,background,1.58
496,background,0.778
497,background,7.07
498,background,6.26
499,background,114.0
500,background,94.6
501,background,8.64
502,background,1.79
503,background,463.0
504,background,152.0
505,background,72.3
506,background,510.0
507,background,1.42
508,background,2.11
509,background,2.17
510,background,0.463
511,background,13.9
512,background,288.0
513,background,0.897
514,background,0.343
515,background,1.51
516,background,5.84
517,background,11.5
518,background,0.967
519,background,1.08
520,background,0.923
521,background,1627.0
522,background,2.87
523,background,0.552
524,background,0.703
525,background,11.1
526,background,195.0
527,background,0.198
528,background,0.818
529,background,18.9
530,background,0.641
531,background,0.547
532,background,3.64
533,background,76.3
534,background,100.0
535,background,0.812
536,background,0.87
537,background,1.18
538,background,0.749
539,background,13.2
540,background,2182.0
541,background,2.95
542,background,11.8
543,background,1.19
544,background,0.145
545,background,0.451
546,background,2.07
547,background,0.791
548,background,2.47
549,background,40.2
550,background,0.465
551,background,1.53
552,background,12.6
553,background,1.94
554,background,0.005
555,background,2.74
556,background,2.91
557,background,1.05
558,background,0.657
559,background,0.48
560,background,51.2
561,background,0.43
562,background,211.0
563,background,0.905
564,background,27.2
565,background,1.72
566,background,0.918
567,background,0.367
568,background,1.79
569,background,1.38
570,background,29.7
571,background,178.0
572,background,0.494
573,background,3.71
574,background,2.31
575,background,2.31
576,background,0.445
577,background,1.2
578,background,0.144
579,background,688.0
580,background,50.5
581,background,0.384
582,background,55.5
583,background,22.7
584,background,40.6
585,background,0.908
586,background,34.5
587,background,1.05
588,background,7.81
589,background,1.44
590,background,414.0
591,background,159.0
592,background,101.0
593,background,2.09
594,background,0.444
595,background,0.435
596,background,36.3
597,background,19.3
598,background,0.172
599,background,2.28
600,background,0.322
601,background,1654.0
602,background,2.4
603,background,6.2
604,background,7.13
605,background,2.24
606,background,0.57
607,background,5210.0
608,background,83.5
609,background,13.8
610,background,1.53
611,background,3074.0
612,background,837.0
613,background,1.04
614,background,0.925
615,background,2.23
616,background,0.433
617,background,28.0
618,background,4128.0
619,background,139.0
620,background,1.36
621,background,1.18
622,background,64.5
623,background,22.6
624,background,531.0
625,background,44.4
626,background,309.0
627,background,0.309
628,background,0.21
629,background,8.03
630,background,0.553
631,background,0.827
632,background,460.0
633,background,61.8
634,background,1.57
635,background,1.33
636,background,37.9
637,background,2.15
638,background,3.43
639,background,115.0
640,background,2.14
641,background,22.7
642,background,859.0
643,background,3113.0
644,background,0.869
645,background,1.25
646,background,0.279
647,background,12.3
648,background,5.82
649,background,14.2
650,background,45.4
651,background,1.42
652,background,6.75
653,background,0.886
654,background,1.7
655,background,0.772
656,background,79.4
657,background,8.3
658,background,5.29
659,background,26.2
660,background,0.342
661,background,3607.0
662,background,4.79
663,background,0.831
664,background,204.0
665,background,1903.0
666,background,4.78
667,background,0.79
668,background,0.541
669,background,4.23
670,background,3.43
671,background,86.7
672,background,223.0
673,background,24.3
674,background,22.5
675,background,2569.0
676,background,74.1
677,background,0.716
678,background,0.691
679,background,156.0
680,background,0.573
681,background,0.941
682,background,0.715
683,background,0.847
684,background,4.66
685,background,0.496
686,background,3634.0
687,background,0.485
