,gaps,mutualinformation,mutualinformation_std,shuffledmutualinformation
94,94,0.0019824545650048916,5.9995628201470834e-05,0.0005104545031638589
95,95,0.002241862647085454,6.906448581479838e-05,0.0005407380354139186
96,96,0.0021315443915466063,4.719772731856693e-05,0.0004703138788031434
97,97,0.0019362550086241776,5.394607743387935e-05,0.0004586663392009442
98,98,0.002241720322295338,6.92370230549076e-05,0.0005149316930789754
99,99,0.00218686473043306,6.20875567990948e-05,0.000516736310840455
100,100,0.0018942507842480841,5.1303854417702286e-05,0.0004888941612270381
101,101,0.00212035259586898,7.001751158135843e-05,0.00047953838232197253
102,102,0.002156707294376631,5.297698991565056e-05,0.0005009349836445952
103,103,0.0019385778026022081,4.784733803739312e-05,0.0005227764362681332
104,104,0.002266838830469606,5.7006316185595836e-05,0.00048705393667565407
105,105,0.0019978491186670453,5.1164056351263174e-05,0.00048174149597201714
106,106,0.0018656871309949187,5.470322213277202e-05,0.00045845804218792315
107,107,0.002175937929569931,6.73521095847251e-05,0.0005414092427302359
108,108,0.0022156165555407455,6.251969850354677e-05,0.0005220141906597405
109,109,0.0018733587231734507,5.844155656610031e-05,0.0005034567030984894
110,110,0.001924299776496906,6.253433573365348e-05,0.00050270883707214
111,111,0.00445673004938772,0.00017503230505694855,0.0004837570904359012
112,112,0.0017106173893615107,4.430676809168348e-05,0.0004783650759931639
113,113,0.001990275304133455,9.555600016470751e-05,0.0005350147520187883
114,114,0.0021872313452136393,6.566526475565315e-05,0.00048453833785186456
115,115,0.002012110783351133,4.429986599242518e-05,0.0004747271637306705
116,116,0.0018309971768678205,5.7034666207068823e-05,0.0004917318779421098
117,117,0.0018536980402151378,4.827117272286573e-05,0.0005179178704964433
118,118,0.0019291149677261763,5.354054021676354e-05,0.0004825332650224071
119,119,0.0018919346024388749,6.274700194521371e-05,0.0004958793889752738
120,120,0.0019088666904048207,6.011780904186574e-05,0.0005033138303672778
121,121,0.0017624362390505255,4.644857109231574e-05,0.000508181010116794
122,122,0.0018044939714145418,5.461518594615485e-05,0.0004930570211612388
123,123,0.0018007649936725681,3.744103366024872e-05,0.0004788838310212083
124,124,0.0018087208402699526,5.4046706348912944e-05,0.0005092267518472687
125,125,0.0017593839036113815,5.9774075636071544e-05,0.0004632214815297183
126,126,0.0018553722206289325,4.666001761796994e-05,0.00047293099718390943
127,127,0.0018265241640260796,6.598310819741943e-05,0.000523802995116597
128,128,0.0018082368863242178,6.307676924719471e-05,0.0004940738169468218
129,129,0.0017372775016880782,4.899666667342914e-05,0.0005251274399674772
130,130,0.0018170239178528708,4.756240577515809e-05,0.0005042773739994582
131,131,0.0017391287159750184,6.461037757844162e-05,0.0005070317210421623
132,132,0.0018438745637786825,5.2012190174805404e-05,0.00045199703438555765
133,133,0.0017934291477340702,4.36445031209679e-05,0.0004778148012156362
134,134,0.0017284704557174089,5.3710805993560975e-05,0.0005310158690602456
135,135,0.0019178251577027215,5.3623990337521934e-05,0.0004310279970971082
136,136,0.0019358740340433577,6.19876017757897e-05,0.0005047526852489345
137,137,0.0017189878646274633,8.794472694821364e-05,0.0004912117045689862
138,138,0.00161320581111293,4.804657871860245e-05,0.0004659950395823968
139,139,0.004033484345065666,0.0002056318391566251,0.0005199802792211315
140,140,0.0015789879178627047,4.843997735445462e-05,0.0004959207842312493
141,141,0.0016099653512511032,5.619657142437567e-05,0.00047150323237037697
142,142,0.001851364256552832,6.40101655756325e-05,0.0005039346618978954
143,143,0.0019891409547211944,6.2649418342874e-05,0.0004884868934958556
144,144,0.0015613743784377166,4.996385381467774e-05,0.00044701047441921866
145,145,0.0016803452426918867,4.879017579273792e-05,0.0005015912355916369
146,146,0.0018175942237988836,6.752539324657791e-05,0.0004407996437355252
147,147,0.0014948195952751066,5.3810825424906284e-05,0.0004970575261137621
148,148,0.001693684525372583,6.526910925780258e-05,0.0005327084550921943
149,149,0.0018140171334567095,7.57118966251692e-05,0.0004922559858586972
150,150,0.001546002501717125,4.914527677637117e-05,0.0005006866182624525
151,151,0.001585646173866998,4.775014963613686e-05,0.0005324016324656459
152,152,0.0017256277584691768,6.351224917880033e-05,0.0004960835236578177
153,153,0.0014900914735528031,3.967724017668972e-05,0.0004987573837276042
154,154,0.0016568759228908169,5.169911369192588e-05,0.00046508914463822015
155,155,0.0017025287069679519,5.8291621150609546e-05,0.0005317604301130761
156,156,0.0014676140411427748,4.933237500147318e-05,0.0004685419543708564
157,157,0.001543321465975589,4.878333679727504e-05,0.0004998993720845897
158,158,0.0016595301423457363,6.020767990852816e-05,0.0004812667209080809
159,159,0.0014744401687441751,5.109682548236663e-05,0.0004924575554872716
160,160,0.001699895873367327,7.19754329910967e-05,0.0005069890894228949
161,161,0.0016480228285195575,6.772060149265342e-05,0.00048282393105526073
162,162,0.0014528257170218078,5.3901770570423656e-05,0.0005110425801627141
163,163,0.0016160593238309824,5.3902799862648066e-05,0.0004723139100095185
164,164,0.0019647781343609338,8.076389525073596e-05,0.000494965107904871
165,165,0.0014447422167874035,5.3256076195559756e-05,0.00046304874747585766
166,166,0.0014230435387054415,6.633048242569122e-05,0.00045753636836639357
167,167,0.0036248794457993967,0.00016331183003451215,0.0004900127666728368
168,168,0.0014737044879951943,7.829707975743602e-05,0.00048431688489335644
169,169,0.0014659728106888275,5.9309885443517014e-05,0.00044249631673581023
170,170,0.0017884622349794278,5.987128303187432e-05,0.00042884044436068377
171,171,0.0016170378079806119,6.453217807486949e-05,0.00047179300001100094
172,172,0.0014116006744081685,5.019481939252887e-05,0.0004259081593138078
173,173,0.001660249353124792,5.194090462007423e-05,0.0004563664693161319
174,174,0.0016109641186329796,4.584596353756677e-05,0.00042743367163925925
175,175,0.0013875470143556825,5.188520056634662e-05,0.000532065575459651
176,176,0.0016552374339895877,7.447684289865618e-05,0.0005171979176806157
177,177,0.0013807141256764622,3.7457472594011516e-05,0.0004692620282324982
178,178,0.001304224924802137,5.545441979052811e-05,0.00047381988015017236
179,179,0.0016097071425271187,5.996717676783824e-05,0.0004395228312963854
180,180,0.0014813383451909156,4.76421828508664e-05,0.0004885771319009441
181,181,0.0014465705580695815,5.4905322166478726e-05,0.0005186249434314332
182,182,0.0015999093615325125,6.37830701804726e-05,0.0004844583554902111
183,183,0.001496014189750128,5.6660640371898896e-05,0.0004657470973903676
184,184,0.0012753116522753525,4.534217636984243e-05,0.0005355784482491087
185,185,0.0015581638803175727,6.421310082344953e-05,0.00048666615359618825
186,186,0.0014925039620133126,5.017964275449293e-05,0.0004729078418795996
187,187,0.0013793010185095189,5.568906322136344e-05,0.0004592838780904849
188,188,0.0016495971956084201,6.307918003694413e-05,0.00048289190410837426
189,189,0.0015494452158132087,5.2775912812199615e-05,0.0005097332510974606
190,190,0.001344953123612608,3.937611298996196e-05,0.0004743803708901444
191,191,0.0015693564067178266,7.199626847795618e-05,0.00044609596082411556
192,192,0.0015511844320002738,6.185543192528294e-05,0.00045811330754498374
193,193,0.001300121072782672,4.718021080106936e-05,0.000458903586691492
194,194,0.0014324891601028725,6.599511492994336e-05,0.00044665945392246317
195,195,0.002970669285711281,0.00011746189746753083,0.0005219936186838234
196,196,0.0012271184411737468,4.0557018666936843e-05,0.0004571864922185034
197,197,0.0013968642132943354,6.8814267134271e-05,0.0004981062517104588
198,198,0.0014941215541070818,4.3008598230041776e-05,0.0004766316214139582
199,199,0.0014858477107967205,7.071065811592793e-05,0.00046408311738884605
200,200,0.0013364215275043327,4.9780904708078155e-05,0.00047684433180725846
