,gaps,mutualinformation,mutualinformation_std,shuffledmutualinformation
0,0,0.013787920013290862,0.00010492995899124473,0.0012711755470918113
1,1,0.00982538233022391,9.798034928479975e-05,0.0012823260007621398
2,2,0.01069157880212005,0.00018277841608911255,0.001269283279410598
3,3,0.009723695538905352,0.00010080147006196208,0.0012555940941685931
4,4,0.0060292658022863994,0.00010586986206818889,0.0012599004298077462
5,5,0.006405973315054934,0.00012410869556407216,0.001238881017860194
6,6,0.007304080242457411,8.145371403717195e-05,0.0012526812350725721
7,7,0.005057100784363988,6.00742118101069e-05,0.0012730886784775878
8,8,0.0056256722079359445,0.0001099980356173773,0.0012715865706342162
9,9,0.005293700308595694,9.819472160385973e-05,0.0012801354624224419
10,10,0.005153496765887153,8.422839094145765e-05,0.0012514397972388457
11,11,0.005236816765198938,0.00011445246189381427,0.001270164581793975
12,12,0.004794741740711825,7.436364806779349e-05,0.0012400245807519506
13,13,0.004918703456857174,7.980472838406782e-05,0.0012575482520027414
14,14,0.005074621734069266,0.00010350325513774298,0.0012599294416809801
15,15,0.004303242558300717,7.324279282351778e-05,0.0012031943235644214
16,16,0.003989170573281396,7.417739571970674e-05,0.0012477941799384318
17,17,0.004515223881853225,7.660811624918164e-05,0.0012820541916627613
18,18,0.00430188512445354,6.726013633303547e-05,0.0012306059859212505
19,19,0.003965394096399689,7.327449862173023e-05,0.0012432475222658992
20,20,0.004752355457182855,8.853157590496214e-05,0.0012685967279085092
21,21,0.003832550448081563,6.185554155581488e-05,0.0012484588078226547
22,22,0.00364872152228577,7.408640965237251e-05,0.0012724368386557356
23,23,0.004520164196187117,9.351721139280947e-05,0.00126556309266712
24,24,0.004239092567695109,7.537089766201517e-05,0.001247812420297569
25,25,0.0035687734132367186,6.6605398530511e-05,0.0012537842350459944
26,26,0.0033840717759572848,9.42450450324079e-05,0.0012627759075619664
27,27,0.008048689496245163,0.00021510543311714848,0.0012211163822963271
28,28,0.0031126914096308313,5.545777522472826e-05,0.001231277041614833
29,29,0.0038193415572241158,9.340626539360116e-05,0.0012438219870485993
30,30,0.0037881760832324768,6.235894838796294e-05,0.001220668117487514
31,31,0.0037712587960418847,7.546141926769175e-05,0.001207043234647253
32,32,0.003376479714820249,8.319063558700167e-05,0.0012076891109774985
33,33,0.003408747566090257,5.680792742703836e-05,0.0012612725406206096
34,34,0.003510514915769042,8.055174305158613e-05,0.0012239066905436623
35,35,0.003180398969259707,8.052998769017227e-05,0.0012605975675220895
36,36,0.0033600886639183663,5.747616734730767e-05,0.0012290495739643097
37,37,0.0031992191398461777,6.408813536842778e-05,0.0012520357656698948
38,38,0.0031635402780677037,6.909036148595713e-05,0.001210150101792488
39,39,0.003338412719211313,7.282607904028018e-05,0.0012215738642318411
40,40,0.003233706282009837,6.006101045870178e-05,0.001237359973696198
41,41,0.0033983750114323858,0.00010237219851543743,0.0012422910993930378
42,42,0.003146778102906647,6.763200645168298e-05,0.0011761876983928145
43,43,0.003020260782700944,4.026660729118438e-05,0.0012534452693774474
44,44,0.0029938202681943724,6.85562856586046e-05,0.0011940283873114331
45,45,0.0029947963322067817,6.173234659440044e-05,0.0012182602576807345
46,46,0.0030593096691703863,7.273825822533042e-05,0.0012422203754961848
47,47,0.0029334827516988796,7.777587509676731e-05,0.0012447190900821818
48,48,0.003032375457091458,6.664163968023635e-05,0.0012050606531301467
49,49,0.0030352182343479535,7.564371875092052e-05,0.0012332046589742863
50,50,0.0027215739625820736,5.8203240378037026e-05,0.0012300194284503676
51,51,0.0030097605480533213,5.5530726063110376e-05,0.0012284802908085026
52,52,0.0031649153677656273,7.120976297960392e-05,0.0012413127234850209
53,53,0.002884305807082323,7.580522885361447e-05,0.0012165498443295765
54,54,0.002385094444753042,4.991624314314181e-05,0.0012337874339638324
55,55,0.006392429564663881,0.00020621479959063567,0.0012069896716077506
56,56,0.00242097426292411,5.309041570327138e-05,0.0012468062496801499
57,57,0.0024713036213867435,5.4709103881274894e-05,0.0012173380345411205
58,58,0.003074065728341877,7.467545688435598e-05,0.0012047169427545083
59,59,0.0031776335395765714,9.426834426450784e-05,0.001210881652346455
60,60,0.002403236729467484,5.3171935091476394e-05,0.0011869968990383798
61,61,0.0026217964792955083,5.661838566179688e-05,0.0012348879617941006
62,62,0.002895218005214906,7.991159343288557e-05,0.0012046591658480788
63,63,0.002356965618748892,4.6606607664739213e-05,0.001213302392678429
64,64,0.002621358029843169,7.081188874588239e-05,0.0012003049548800699
65,65,0.0026443627406106357,6.550400027157657e-05,0.0012199293324699255
66,66,0.002404503579196957,5.102818483905267e-05,0.001213183748827519
67,67,0.0023179799844358358,4.124248280257238e-05,0.0012060820493915664
68,68,0.0027686926678290808,8.101969721363628e-05,0.0012519721603983058
69,69,0.0023451913896079786,4.3189320907288606e-05,0.001218564937972304
70,70,0.0025103457005608417,7.103571821502668e-05,0.001218895635877022
71,71,0.002690670030323785,7.114562208383126e-05,0.0012156020269080458
72,72,0.002237216429549814,5.4959647426685044e-05,0.0012063152383154682
73,73,0.00237578254914793,4.675536351679951e-05,0.0012015291792547165
74,74,0.0027431180909468123,9.610865896590686e-05,0.0011978661667414545
75,75,0.002195841355489316,6.172182032547945e-05,0.001190830478757492
76,76,0.0025719753674854047,7.473140646523258e-05,0.0012094920424172155
77,77,0.002483629221355835,7.152748503947261e-05,0.0012158786008997413
78,78,0.0021453353437210715,4.30694403441302e-05,0.0012326985632187873
79,79,0.002627636957967047,6.404771849676327e-05,0.001206391800995733
80,80,0.002632592754725664,7.051481235986672e-05,0.0011809540605694018
81,81,0.00214452877427984,5.401927135588703e-05,0.001185697802809739
82,82,0.0019547672808571254,5.2639302168340326e-05,0.0012008948278501349
83,83,0.005608679002823905,0.00020647902594675123,0.0011960014036086046
84,84,0.0020095838017988024,4.340679043825916e-05,0.0011844141993715056
85,85,0.002077654517046236,5.457731534246967e-05,0.0012125755100554343
86,86,0.002523349770867611,5.856905790234059e-05,0.0012219176560569836
87,87,0.002449390481065997,6.544570742292408e-05,0.0011732249085744204
88,88,0.002056482492000099,4.8421925910838983e-05,0.0011886676928881505
89,89,0.002409519584837619,6.873357399051134e-05,0.001188842333465967
90,90,0.0022866919317434003,5.170372095281732e-05,0.0012070321615194797
91,91,0.0019918482698851577,8.2034832428981e-05,0.0011839463570623323
92,92,0.002337371150169249,5.847068117423719e-05,0.001188970270566697
93,93,0.002058443425194467,5.734153020689068e-05,0.001212391903180351
94,94,0.0019824545650048916,5.632250496927391e-05,0.0011892478816231977
95,95,0.002241862647085454,6.046535379049823e-05,0.0011796182567609627
96,96,0.0021315443915466063,5.085441819062732e-05,0.0011584037625549412
97,97,0.0019362550086241776,3.396911434371613e-05,0.0011812034702362974
98,98,0.002241720322295338,6.646618014233388e-05,0.001192266884234571
99,99,0.00218686473043306,6.702837749406497e-05,0.0011865446776097614
100,100,0.0018942507842480841,5.260015986724231e-05,0.0011985967223661742
101,101,0.00212035259586898,6.394533614663021e-05,0.0011804255011325566
