,gaps,mutualinformation
0,0,0.03659160520451454
1,1,0.015939973320157286
2,2,0.017741753438152763
3,3,0.016577089224242947
4,4,0.013615950544997979
5,5,0.014877170878897061
6,6,0.01119379844317514
7,7,0.012551986310881169
8,8,0.010144177292588985
9,9,0.010333105574305002
10,10,0.008567712470256339
11,11,0.012781107089097077
12,12,0.007137995358020177
13,13,0.008170689247877228
14,14,0.008488021756622999
15,15,0.008055832841527
16,16,0.005933618201477309
17,17,0.009062916314571012
18,18,0.005824164020359568
19,19,0.0074250615448869794
20,20,0.0064579091014485
21,21,0.0055843141517941675
22,22,0.0049199706896398965
23,23,0.00817104057393081
24,24,0.005392176687625927
25,25,0.004842432460161916
26,26,0.005272661446335647
27,27,0.00569277663266643
28,28,0.004356581144511651
29,29,0.0064969121516815775
30,30,0.004466289323602268
31,31,0.005151386478523534
32,32,0.004280833519199945
33,33,0.004103793450141779
34,34,0.004611330097936239
35,35,0.00600545024996979
36,36,0.003842240704784672
37,37,0.003530323178030592
38,38,0.004015708149761821
39,39,0.005067044445689284
40,40,0.003564205130678566
41,41,0.004494605906067761
42,42,0.0032532309055159914
43,43,0.0038668298577766436
44,44,0.003880672820355535
45,45,0.003172284517798829
46,46,0.0030586786220521134
47,47,0.004352989969687471
48,48,0.0034424264743728727
49,49,0.0034684100008517404
50,50,0.0030462700427715816
51,51,0.0031409885734277054
52,52,0.00294645121425674
53,53,0.003628446757126369
54,54,0.003048896770041054
55,55,0.00341743238980019
56,56,0.0028232140435608954
57,57,0.0027737632323630024
58,58,0.002771417761977979
59,59,0.003571171327093836
60,60,0.002611101502218993
61,61,0.002571569680100083
62,62,0.003008353875395997
63,63,0.002897544668035046
64,64,0.002657585764501924
65,65,0.0029095265067997644
66,66,0.0024673785695563666
67,67,0.0025173313751256643
68,68,0.0024305476696264705
69,69,0.0026765372729657955
70,70,0.00238599875379375
71,71,0.003060041816628001
72,72,0.002287511472177428
73,73,0.002245652666745812
74,74,0.0023815882249849096
75,75,0.002470925676172797
76,76,0.002437624698720775
77,77,0.0024563224564779773
78,78,0.0021851467219757836
79,79,0.002630643671731825
80,80,0.0023627119021218945
81,81,0.002103988538209478
82,82,0.0020242655641906637
83,83,0.0025919378884395883
84,84,0.002344793217745611
85,85,0.00213105464824892
86,86,0.002033718579645516
87,87,0.002357571617192633
88,88,0.0021205884860702184
89,89,0.002453758977003062
90,90,0.0021847299235950857
91,91,0.0019868337216877308
92,92,0.00200073129283318
93,93,0.00205188442911286
94,94,0.0021455381879995628
95,95,0.0025063033241448096
96,96,0.0019616788922274253
97,97,0.0020720152456545904
98,98,0.002195315707542278
99,99,0.002091639653677646
100,100,0.0019012511805858168
101,101,0.0020957261006770977
102,102,0.001996298462769275
103,103,0.0021438471610775167
104,104,0.001961833886406694
105,105,0.0018634082064394875
106,106,0.0018925485817824494
107,107,0.0021229069616079954
108,108,0.0019200425201972848
109,109,0.0019850112641588424
110,110,0.0018844724084567943
111,111,0.0021772401906394734
112,112,0.0019414164495712427
113,113,0.0019521968245301835
114,114,0.001826388116958455
115,115,0.0019847372431396337
116,116,0.00206899771750102
117,117,0.0017700320625007038
118,118,0.0017832144235301328
119,119,0.002218732533764367
120,120,0.0019009051476164274
121,121,0.001807807173942244
122,122,0.0017515063285005184
123,123,0.0017909721441258242
124,124,0.001917081404678278
125,125,0.001979840467119409
126,126,0.001800421562340837
127,127,0.0018351292035907463
128,128,0.0017788948114381142
129,129,0.0018308540318638933
130,130,0.001714044438543283
131,131,0.0018376999295881546
132,132,0.0017484877788422892
133,133,0.0017454010594670777
134,134,0.0019161029046603772
135,135,0.0018401228328261965
136,136,0.0016571439899228935
137,137,0.0017912985490822209
138,138,0.001749904878498576
139,139,0.0018309115081001082
140,140,0.0017034729033653662
141,141,0.0016952793127211763
142,142,0.0018175212227911075
143,143,0.00195610239299171
144,144,0.0017501797647963002
145,145,0.0016186457122673303
146,146,0.0016765392593836026
147,147,0.0018024108924601379
148,148,0.0016747182841481134
149,149,0.0017630702949782417
150,150,0.0017153474905731159
151,151,0.0017999432531414783
152,152,0.001737622394988314
153,153,0.0016120386710793966
154,154,0.001572243411211538
155,155,0.0017355015046867095
156,156,0.0016161339169267208
157,157,0.0016295300895530218
158,158,0.001606920842883497
159,159,0.0017014845955030111
160,160,0.0016304231452304307
161,161,0.0017189929712904117
162,162,0.0015305936202718584
163,163,0.001603018629745101
164,164,0.0016007174000787217
165,165,0.0015705346114582852
166,166,0.0014767669267801153
167,167,0.001628951109809762
168,168,0.0015835849933996116
169,169,0.0016100095968800687
170,170,0.0015993598054349079
171,171,0.0014408046793752405
172,172,0.0014713822400587162
173,173,0.0014394631799836688
174,174,0.001508329485691462
175,175,0.0016056337657781583
176,176,0.0015238449622376748
177,177,0.0014889397415629446
178,178,0.001474011912287132
179,179,0.0016209140684741996
180,180,0.0014328522897200102
181,181,0.0015253771497336643
182,182,0.0014364575739955754
183,183,0.001557899086422232
184,184,0.001387288458364111
185,185,0.001448829588394318
186,186,0.0014876611630239012
187,187,0.0014225204801281421
188,188,0.001577977324375368
189,189,0.0014599739688083702
190,190,0.0014278572851873506
191,191,0.0015629114519608578
192,192,0.0014051980529830033
193,193,0.001473139935022516
194,194,0.001411920331944927
195,195,0.0014380386899173203
196,196,0.0014479872161601293
197,197,0.0014631364910426825
198,198,0.0014702699008202202
199,199,0.0014834532180136861
200,200,0.001337346531623318
