,gaps,mutualinformation,mutualinformation_std,shuffledmutualinformation
54,54,0.002171548280446652,4.027591427933963e-05,0.0011300533430146586
55,55,0.005146088903287908,0.00015928996098403132,0.0011317067822462178
56,56,0.0021187926226096704,5.5612821579852065e-05,0.0011266239870242093
57,57,0.0022737266626257943,4.058916375935168e-05,0.001127763434628478
58,58,0.0027352568804103125,7.126475893491681e-05,0.0011773148333917795
59,59,0.0027052470928841613,5.113387107126227e-05,0.0011438371874145147
60,60,0.0020976889894802134,4.672566104877418e-05,0.001139954591233066
61,61,0.0024016935111453174,4.320849026957295e-05,0.001125305961914947
62,62,0.0024584746159370813,5.90827515917256e-05,0.001111990149855149
63,63,0.002167591153322,4.200543864374424e-05,0.001126687799247636
64,64,0.0023114042642173763,4.479527548811776e-05,0.0011753385618553372
65,65,0.0024057082997309288,5.672679157367776e-05,0.0011572562815046611
66,66,0.002177741404387161,2.8686926686112807e-05,0.0011484153561029014
67,67,0.0019717923222129204,3.831174738455643e-05,0.0011220390087799002
68,68,0.002510783041679125,5.745412198054308e-05,0.0011291915295974927
69,69,0.0021146637050470057,4.2851309645495544e-05,0.0011320068194833005
70,70,0.0022798657885750064,5.457248853680957e-05,0.0011316443745560199
71,71,0.0024834222110719944,4.0862646978696904e-05,0.001110987372461969
72,72,0.001972745662928797,4.27354560630418e-05,0.0011029417083033984
73,73,0.0021641685501522924,3.53799365197127e-05,0.0010887895519019438
74,74,0.002397287043587854,4.683010892510933e-05,0.0010895399231473561
75,75,0.0020623966389422665,3.576356200686719e-05,0.001118838785189698
76,76,0.002195583826739109,4.171351193905699e-05,0.001124581863393144
77,77,0.0021077701819269645,5.398127718760928e-05,0.001097246144754132
78,78,0.0019146961602059206,3.958767518669968e-05,0.0011047142277188615
79,79,0.0022953490583192894,4.9704756290816286e-05,0.0011077127850961468
80,80,0.0023912719382933253,4.9867541018466255e-05,0.001105888465730641
81,81,0.001910429589443005,5.2300560456032424e-05,0.0011098809150832754
82,82,0.0017462449181754455,3.6412710149765574e-05,0.0010969193625645522
83,83,0.004519084400447492,0.00015769134778171082,0.0010875179410383886
84,84,0.0018922377806680928,3.0871578655835084e-05,0.0010603217795897802
85,85,0.001905549121560948,4.967903910761927e-05,0.0010953344394892559
86,86,0.002190116617352497,4.1208236353243633e-05,0.0011332767892317593
87,87,0.0021890758622387626,6.678736288752691e-05,0.0010616886469371576
88,88,0.001784724936416178,3.862625591424647e-05,0.0011052413922524082
89,89,0.002120260404828124,4.5952244969453376e-05,0.0010771339230706296
90,90,0.001999526015763063,4.3034223852869104e-05,0.0010781729766711058
91,91,0.0018894896999496836,3.931650820375751e-05,0.0011146635770573354
92,92,0.0019499586475558708,5.07704752632424e-05,0.0010937143115612696
93,93,0.0017164642056400829,3.165831967695538e-05,0.0010858577998401155
94,94,0.0018577619771904935,4.14169279897394e-05,0.0011069504506519365
95,95,0.001969064250197263,5.8663452500245624e-05,0.001103669404610108
96,96,0.0018629033958679011,4.614040776409501e-05,0.0010847365854833508
97,97,0.001653644625703896,3.068957578910325e-05,0.0011099964679515458
98,98,0.0019498489627112895,5.327319538633509e-05,0.0011104193535777123
99,99,0.0019773227821901934,4.1877141433388126e-05,0.0010810296091502288
100,100,0.0017182278477553758,2.9016669762290206e-05,0.0010772703226527888
101,101,0.0017973221265489418,5.445908380131952e-05,0.0010879019551811376
102,102,0.0018423017094455676,4.103383411288491e-05,0.0010882711097186467
