,gaps,mutualinformation,mutualinformation_std,shuffledmutualinformation
0,0,0.013787920013290862,9.272397669882113e-05,0.0032612631738996745
1,1,0.00982538233022391,0.0001205216737982394,0.003296975603125622
2,2,0.01069157880212005,0.00011857815938292269,0.00333369249136676
3,3,0.009723695538905352,0.00012368882834834128,0.003296840266008563
4,4,0.0060292658022863994,6.333355107509372e-05,0.003304091459160979
5,5,0.006405973315054934,0.00011507763505769227,0.0031687743925095423
6,6,0.007304080242457411,0.00011662448131253486,0.003185980377908159
7,7,0.005057100784363988,7.90603351996101e-05,0.003230706137065165
8,8,0.0056256722079359445,0.0001273825190480944,0.0033475759308085906
9,9,0.005293700308595694,7.595397971117834e-05,0.003327038262486922
10,10,0.005153496765887153,8.066545505721671e-05,0.0032853810434080627
11,11,0.005236816765198938,9.519544510412231e-05,0.0032376674709738563
12,12,0.004794741740711825,7.779897351562163e-05,0.003241348925828203
13,13,0.004918703456857174,9.148390531441457e-05,0.0032501197905033577
14,14,0.005074621734069266,0.00010479500997561115,0.00326610041411428
15,15,0.004303242558300717,6.547579106836155e-05,0.003212421259842119
16,16,0.003989170573281396,4.8217309553894456e-05,0.003252116721749292
17,17,0.004515223881853225,0.00010270871588373676,0.003233875621860039
18,18,0.00430188512445354,7.595443387723668e-05,0.0032473335571213085
19,19,0.003965394096399689,7.321073580704988e-05,0.00314799569717943
20,20,0.004752355457182855,0.000111424701410376,0.003272174436410105
21,21,0.003832550448081563,6.467889589025458e-05,0.003225198644952281
22,22,0.00364872152228577,6.0310936866918364e-05,0.0032799234803761543
23,23,0.004520164196187117,9.99763727077507e-05,0.0032182190695327437
24,24,0.004239092567695109,7.92157668416562e-05,0.0032120002831162115
25,25,0.0035687734132367186,6.394491171958807e-05,0.0031280834169848167
26,26,0.0033840717759572848,6.208328724796773e-05,0.0031920763072288113
27,27,0.008048689496245163,0.00022297525397164033,0.0032140536051530138
28,28,0.0031126914096308313,5.1515727862519684e-05,0.0031689318869389882
